Name,Category,Address,Contact Name,Contact Email,Contact Phone Number,Creative Schools Certification,Network
George H Corliss High School,High School,"821 E 103rd St, Chicago, IL, 60628",Jeffrey Matz,jtmatz@cps.edu,(773) 535-5115,Strong,Network 17
Percy L Julian High School,High School,"10330 S Elizabeth St, Chicago, IL, 60643",Michelle Feit,mafeit@cps.edu,(773) 318-1118,Excelling,Network 16
Benito Juarez Community Academy High School,High School,"1450 W Cermak Rd, Chicago, IL, 60608",Mary Elizabeth Winfield,mewinfield@cps.edu,(773) 534-7030,Strong,Network 15
Jacqueline B Vaughn Occupational High School,High School,"4355 N Linder Ave, Chicago, IL, 60641",Jeremy Green,jsgreen@cps.edu,(630) 414-5816,Excelling,Network 14
Ray Graham Training Center High School,High School,"2347 S Wabash Ave, Chicago, IL, 60616",Katherine Kurisch,kmkurisch@cps.edu,(415) 515-7056,Strong,Network 14
Jane Addams Elementary School,Elementary School,"10810 S Avenue H, Chicago, IL, 60617",Lindsey Holzner,laholzner@cps.edu,(773) 203-4718,Incomplete Data,Network 13
Harriet Tubman Elementary School,Elementary School,"2851 N Seminary Ave, Chicago, IL, 60657",Nicholas Hall,njhall@cps.edu,(773) 882-0379,Excelling,Network 4
Louisa May Alcott Elementary School,Elementary School,"2625 N Orchard St, Chicago, IL, 60614",Ingrid Swenson,ijswenson@cps.edu,(773) 534-5460,Excelling,Network 4
Phillip D Armour Elementary School,Elementary School,"950 W 33rd Pl, Chicago, IL, 60608",Farrah Blake,fcurescu@cps.edu,(773) 535-4530,Excelling,Network 6
George Armstrong International Studies ES,Elementary School,"2110 W Greenleaf Ave, Chicago, IL, 60645",Devin Prendergast,dpprendergas@cps.edu,"",Strong,ISP
Marine Leadership Academy at Ames,High School,"1920 N Hamlin Ave, Chicago, IL, 60647",Matthew Tatlock,mtatlock@cps.edu,"",Strong,Network 14
John J Audubon Elementary School,Elementary School,"3500 N Hoyne Ave, Chicago, IL, 60618",Christopher Hill,cehill@cps.edu,(773) 318-0207,Excelling,Network 4
Nancy B Jefferson Alternative High School,High School,"1100 S Hamilton Ave., Chicago, IL, 60612",Phillip Friberg,pmfriberg@cps.edu,(312) 433-7110,Strong,Options
Avalon Park Elementary School,Elementary School,"8045 S Kenwood Ave, Chicago, IL, 60619",Marlon Jones,mgjones1@cps.edu,(773) 535-6615,Excelling,Network 12
Alice L Barnard Computer Math & Science Ctr ES,Elementary School,"10354 S Charles St, Chicago, IL, 60643",Michelle Murff Arrington,mmurff-arri@cps.edu,(773) 535-2625,Strong,Network 10
John Barry Elementary School,Elementary School,"2828 N Kilbourn Ave., Chicago, IL, 60641",Teresa Shin,tyshin@cps.edu,(773) 534-3455,Excelling,Network 4
Clara Barton Elementary School,Elementary School,"7650 S Wolcott Ave, Chicago, IL, 60620",Patricia Bell,pmbell2@cps.edu,(773) 535-3260,Incomplete Data,Network 11
Perkins Bass Elementary School,Elementary School,"1140 W 66th St, Chicago, IL, 60621","",,"",Excelling,Network 11
Newton Bateman Elementary School,Elementary School,"4220 N Richmond St, Chicago, IL, 60618",Katherine Chrisman,kechrisman@cps.edu,(773) 534-5055,Strong,Network 1
Nicholson Technology Academy,Elementary School,"6006 S Peoria St, Chicago, IL, 60621",D'Andre Moore,dlmoore3@cps.edu,"",Emerging,Network 11
Thomas A Edison Regional Gifted Center ES,Elementary School,"4929 N Sawyer Ave, Chicago, IL, 60625",Deni Drinkwater,dldrinkwater@cps.edu,(773) 534-0540,Excelling,Network 1
George Rogers Clark Elementary School,Elementary School,"1045 S Monitor Ave, Chicago, IL, 60644",Bonita Roy,bgroy@cps.edu,(773) 534-6225,Excelling,ISP
Jean Baptiste Beaubien Elementary School,Elementary School,"5025 N Laramie Ave, Chicago, IL, 60630",Natalie Davis,njdavis@cps.edu,(773) 534-3500,Excelling,Network 1
Jacob Beidler Elementary School,Elementary School,"3151 W Walnut St, Chicago, IL, 60612",Molly Corbitt,mecorbitt1@cps.edu,(773) 534-6811,Strong,Network 5
Hiram H Belding Elementary School,Elementary School,"4257 N Tripp Ave, Chicago, IL, 60641",Jenna Corrigan,jastamper@cps.edu,(773) 534-3590,Developing,Network 1
Alexander Graham Bell Elementary School,Elementary School,"3730 N Oakley Ave, Chicago, IL, 60618",Shana Pearlmutter,shpearlmutter@cps.edu,(773) 320-5254,Strong,Network 4
Frank I Bennett Elementary School,Elementary School,"10115 S Prairie Ave, Chicago, IL, 60628","",,"",Emerging,Network 13
James G Blaine Elementary School,Elementary School,"1420 W Grace St, Chicago, IL, 60613",Tasha Welling,tbwelling@cps.edu,(773) 534-5750,Developing,Network 4
Mosaic School of Fine Arts,Elementary School,"6710 N Washtenaw Ave, Chicago, IL, 60645",Moira Doman,mdoman@cps.edu,"",Excelling,Network 2
Scott Joplin Elementary School,Elementary School,"7931 S Honore St, Chicago, IL, 60620","",,"",Emerging,Network 11
Myra Bradwell Communications Arts & Sciences ES,Elementary School,"7736 S Burnham Ave, Chicago, IL, 60649","",,"",Emerging,Network 12
Lionel Hampton Fine & Performing Arts ES,Elementary School,"3434 W 77th St, Chicago, IL, 60652",Sara Simon,smsimon@cps.edu,(773) 535-4030,Strong,Network 10
Alex Haley Elementary Academy,Elementary School,"11411 S Eggleston Ave, Chicago, IL, 60628",Giselle Borczon,gaborczon@cps.edu,(773) 535-5340,Excelling,Network 13
Lorenz Brentano Math & Science Academy ES,Elementary School,"2723 N Fairfield Ave, Chicago, IL, 60647",Michelle Zlatanovski,mzlatanovski@cps.edu,(773) 780-5504,Excelling,Network 4
Norman A Bridge Elementary School,Elementary School,"3800 N New England Ave, Chicago, IL, 60634",Richard Schreiber,rsschreiber@cps.edu,(773) 534-3718,Strong,Network 1
Orville T Bright Elementary School,Elementary School,"10740 S Calhoun Ave, Chicago, IL, 60617","",,"",Strong,Network 13
William H Brown Elementary School,Elementary School,"54 N Hermitage Ave, Chicago, IL, 60612",Latoya Lyons,lsbrown@cps.edu,(773) 534-7250,Excelling,Network 6
Charles S Brownell Elementary School,Elementary School,"6741 S Michigan Ave, Chicago, IL, 60637",Jordy Breslau,jsbreslau@cps.edu,(773) 535-3030,Strong,Network 12
Edward A Bouchet Math & Science Academy ES,Elementary School,"7355 S Jeffery Blvd, Chicago, IL, 60649",Emily Chyba,eachyba@cps.edu,(708) 341-4323,Strong,Network 12
Lyman A Budlong Elementary School,Elementary School,"2701 W Foster Ave, Chicago, IL, 60625",Teresa Horney,thorney@cps.edu,(773) 534-2591,Developing,ISP
Luther Burbank Elementary School,Elementary School,"2035 N Mobile Ave., Chicago, IL, 60639",Joanne Carrera,jlcarrera@cps.edu,(773) 534-3000,Strong,Network 3
Edmond Burke Elementary School,Elementary School,"5356 S King Dr, Chicago, IL, 60615",Jazmin Jones,jtjones2@cps.edu,(773) 535-1325,Incomplete Data,Network 9
Augustus H Burley Elementary School,Elementary School,"1630 W Barry Ave, Chicago, IL, 60657",Kathy Keeley,kkeeley@cps.edu,(773) 534-5475,Strong,Network 4
Burnham Elementary Inclusive Academy,Elementary School,"9928 S Crandon Ave, Chicago, IL, 60617",Michael Lance,mjlance@cps.edu,(773) 535-6530,Strong,Network 13
Burnside Elementary Scholastic Academy,Elementary School,"650 E 91st Pl, Chicago, IL, 60619",Joyce Sumter-Anderson,jasumter-anderson@cps.edu,(773) 535-3300,Emerging,Network 12
Jonathan Burr Elementary School,Elementary School,"1621 W Wabansia Ave, Chicago, IL, 60622",Danielle Ormond,drormond@cps.edu,(773) 534-4090,Excelling,Network 6
John C Burroughs Elementary School,Elementary School,"3542 S Washtenaw Ave, Chicago, IL, 60632","",,"",Developing,Network 8
Milton Brunson Math & Science Specialty ES,Elementary School,"932 N Central Ave, Chicago, IL, 60651",Taylor Mencynski,Tmenczynski@cps.edu,"",Emerging,Network 3
Michael M Byrne Elementary School,Elementary School,"5329 S Oak Park Ave, Chicago, IL, 60638",Drew Akiyama Elston,delston@cps.edu,(773) 535-2170,Strong,Network 10
Daisy Bates Academy of Social Justice,Elementary School,"8546 S Cregier Ave, Chicago, IL, 60617",Angela Robinson,arobinson@cps.edu,(773) 535-6300,Strong,ISP
Little Village Elementary School,Elementary School,"2620 S Lawndale Ave, Chicago, IL, 60623",Andrea Gallagher,algallagher@cps.edu,(000) 000-0000,Strong,ISP
Daniel R Cameron Elementary School,Elementary School,"1234 N Monticello Ave, Chicago, IL, 60651",Adam Lewis,adlewis@cps.edu,"",Excelling,Network 5
Arthur E Canty Elementary School,Elementary School,"3740 N Panama Ave, Chicago, IL, 60634",Alison Connelly,aeconnelly1@cps.edu,(773) 534-1238,Excelling,Network 1
Andrew Carnegie Elementary School,Elementary School,"1414 E 61st Pl, Chicago, IL, 60637",Jayla Neely,janeely2@cps.edu,(773) 535-0530,Excelling,Network 9
Carroll-Rosenwald Specialty Elementary School,Elementary School,"2929 W 83rd St, Chicago, IL, 60652","",,"",Developing,Network 10
Rachel Carson Elementary School,Elementary School,"5516 S Maplewood Ave, Chicago, IL, 60629",Jose Rodriguez,jrodriguez@cps.edu,"",Strong,ISP
William W Carter Elementary School,Elementary School,"5740 S Michigan Ave, Chicago, IL, 60637","",,"",Emerging,Network 9
George Washington Carver Primary School,Elementary School,"901 E 133rd Pl, Chicago, IL, 60827",Wanda Withers,wdwithers@cps.edu,(773) 535-5674,Emerging,Network 13
Ira F Aldridge Elementary School,Elementary School,"630 E 131st St, Chicago, IL, 60827",Afua Badu,abagyeman@cps.edu,(000) 000-0000,Emerging,Network 13
George F Cassell Elementary School,Elementary School,"11314 S Spaulding Ave, Chicago, IL, 60655",MaryKay Lynch,mlynch@cps.edu,"",Excelling,ISP
Horace Greeley Elementary School,Elementary School,"832 W Sheridan Rd, Chicago, IL, 60613",Frank Patzke,fpatzke1@cps.edu,(847) 372-1339,Strong,Network 4
Thomas Chalmers Specialty Elementary School,Elementary School,"2745 W Roosevelt Rd, Chicago, IL, 60608",Alicia Guy,aguy10@cps.edu,"",Strong,Network 5
Eliza Chappell Elementary School,Elementary School,"2135 W Foster Ave, Chicago, IL, 60625",Regina Wiethop,rlwiethop@cps.edu,(773) 510-0975,Excelling,Network 2
Salmon P Chase Elementary School,Elementary School,"2021 N Point St, Chicago, IL, 60647",Katherine Preston,kapreston2@cps.edu,(773) 534-4185,Excelling,Network 4
Frederic Chopin Elementary School,Elementary School,"2450 W Rice St, Chicago, IL, 60622",Sarah Larson,Sllarson@cps.edu,(773) 704-4820,Excelling,Network 5
Walter S Christopher Elementary School,Elementary School,"5042 S Artesian Ave, Chicago, IL, 60632",Selena Rodriguez,smrodriguez20@cps.edu,(773) 535-9375,Strong,Network 8
Henry Clay Elementary School,Elementary School,"13231 S Burley Ave, Chicago, IL, 60633",Marcus Sims,Mdsims4@cps.edu,(773) 535-5600,Developing,Network 13
Grover Cleveland Elementary School,Elementary School,"3121 W Byron St, Chicago, IL, 60618",Suzanne Voss,ssvoss@cps.edu,(773) 419-2715,Excelling,Network 1
DeWitt Clinton Elementary School,Elementary School,"6110 N Fairfield Ave, Chicago, IL, 60659",William Wenzel,wrwenzel@cps.edu,(773) 534-2025,Excelling,ISP
Henry R Clissold Elementary School,Elementary School,"2350 W 110th Pl, Chicago, IL, 60643",JaMonica Marion,jjmarion@cps.edu,(773) 535-2562,Excelling,Network 10
Edward Coles Elementary Language Academy,Elementary School,"8441 S Yates Blvd, Chicago, IL, 60617",Susan Flood,smflood@cps.edu,"",Emerging,Network 12
Ruth Bader Ginsberg Elementary School (formerly Columbus Elementary),Elementary School,"1003 N Leavitt St, Chicago, IL, 60622",Maureen Johnson,msbarry@cps.edu,(773) 534-4350,Excelling,ISP
John W Cook Elementary School,Elementary School,"8150 S Bishop St, Chicago, IL, 60620",Krista Davis,kldavis@cps.edu,(773) 535-3315,Emerging,Network 11
Jordan Elementary Community School,Elementary School,"7414 N Wolcott Ave, Chicago, IL, 60626",Octavio Sanchez Gonzalez,osanchezgonzalez@cps.edu,(773) 534-2220,Strong,Network 2
John C Coonley Elementary School,Elementary School,"4046 N Leavitt St, Chicago, IL, 60618",Melissa Metz,mamelissa@cps.edu,(773) 805-1033,Strong,Network 2
Peter Cooper Elementary Dual Language Academy,Elementary School,"1624 W 19th St, Chicago, IL, 60608",Phillip Olazaba,pjolazaba@cps.edu,(773) 534-7363,Strong,Network 7
Anna R Langford Community Academy,Elementary School,"6010 S Throop St, Chicago, IL, 60636",Kyra Kornfeld,knkornfeld@cps.edu,(773) 535-9180,Excelling,Network 11
Daniel J Corkery Elementary School,Elementary School,"2510 S Kildare Ave., Chicago, IL, 60623",Rebecca Murray,ramurray1@cps.edu,(773) 534-1650,Strong,Network 7
Barbara Vick Early Childhood & Family Center,Elementary School,"2554 W 113th St, Chicago, IL, 60655",Soomi Chun-Derradji,schun-derra@cps.edu,(773) 535-2671,Developing,Network 10
Manuel Perez Elementary School,Elementary School,"1241 W 19th St, Chicago, IL, 60608",Jessie Pellowski,jmpellowski@cps.edu,(773) 534-7650,Excelling,Network 7
Crown Community Academy of Fine Arts Center ES,Elementary School,"2128 S Saint Louis Ave, Chicago, IL, 60623","",,"",Excelling,Network 5
Everett McKinley Dirksen Elementary School,Elementary School,"8601 W Foster Ave, Chicago, IL, 60656",Stacey Rowland,serowland@cps.edu,(773) 534-1090,Strong,Network 1
Charles R Darwin Elementary School,Elementary School,"3116 W Belden Ave, Chicago, IL, 60647",Adam Shortlidge,acshortlidge@cps.edu,(773) 534-4110,Excelling,Network 4
Nathan S Davis Elementary School,Elementary School,"3014 W 39th Pl, Chicago, IL, 60632",Nathan Rodriguez,ndrodriguez@cps.edu,(773) 875-1411,Emerging,Network 8
Charles Gates Dawes Elementary School,Elementary School,"3810 W 81st Pl, Chicago, IL, 60652",Erin Gleason,egleason@cps.edu,(708) 446-1583,Excelling,Network 10
Stephen Decatur Classical Elementary School,Elementary School,"7030 N Sacramento Ave, Chicago, IL, 60645",Cate Schmittle,cschmittle@cps.edu,"",Excelling,Network 2
Charles S Deneen Elementary School,Elementary School,"7240 S Wabash Ave, Chicago, IL, 60619",Jessica Chen,jachen@cps.edu,(773) 535-3035,Emerging,Network 12
William E Dever Elementary School,Elementary School,"3436 N Osceola Ave, Chicago, IL, 60634",Darcy Nickel,dlnickel@cps.edu,(773) 534-3090,Excelling,Network 1
Dewey Elementary Academy of Fine Arts,Elementary School,"5415 S Union Ave, Chicago, IL, 60609",Anthony Stewart,ajstewart6@cps.edu,(347) 600-8536,Strong,Network 8
Arthur Dixon Elementary School,Elementary School,"8306 S Saint Lawrence Ave, Chicago, IL, 60619",Kayla McClain,kamcclain4@cps.edu,(773) 535-3834,Excelling,Network 12
James R Doolittle Jr Elementary School,Elementary School,"535 E 35th St, Chicago, IL, 60616",Aoko Omwony Hope,aohope@cps.edu,(773) 535-1040,Strong,Network 9
John C Dore Elementary School,Elementary School,"7134 W 65th St, Chicago, IL, 60638",Steven Meyers,Stmeyers@cps.edu,(773) 535-2080,Strong,Network 10
John B Drake Elementary School,Elementary School,"2710 S Dearborn St, Chicago, IL, 60616",Colleen Rochfort,cmrochfort@cps.edu,(773) 534-9129,Excelling,Network 9
Turner-Drew Elementary Language Academy,Elementary School,"9300 S Princeton Ave, Chicago, IL, 60620",Sabrina Jackson,sbjackson@cps.edu,"",Emerging,Network 11
Thomas Drummond Elementary School,Elementary School,"1845 W Cortland St, Chicago, IL, 60622",Wendy Rejman,Wlrejman@cps.edu,(773) 410-1996,Strong,Network 6
Charles W Earle Elementary School,Elementary School,"2040 W 62nd St, Chicago, IL, 60636",Briatta Bell,Bbell14@cps.edu,(773) 535-9130,Strong,Network 11
John F Eberhart Elementary School,Elementary School,"3400 W 65th Pl, Chicago, IL, 60629",Mary Rodriguez,mfrodriguez4@cps.edu,(773) 535-9190,Strong,Network 10
Christian Ebinger Elementary School,Elementary School,"7350 W Pratt Ave, Chicago, IL, 60631",Ashley Mays,ammays2@cps.edu,(734) 717-9440,Strong,Network 1
George W Curtis Elementary School,Elementary School,"32 E 115th St, Chicago, IL, 60628",Kassandra Brown,kbrown191@cps.edu,(773) 535-5050,Developing,Network 13
Edgebrook Elementary School,Elementary School,"6525 N Hiawatha Ave, Chicago, IL, 60646",Mary Lee Aherne,maherne@cps.edu,(773) 534-1194,Strong,Network 1
Ralph H Metcalfe Elementary Community Academy,Elementary School,"12339 S Normal Ave, Chicago, IL, 60628","",,"",Incomplete Data,Network 13
Richard Edwards Elementary School,Elementary School,"4815 S Karlov Ave, Chicago, IL, 60632",Cristina Argueta,cargueta@cps.edu,(773) 535-4875,Strong,Network 8
Edward K Ellington Elementary School,Elementary School,"243 N Parkside Ave, Chicago, IL, 60644",Regina Parker Johnson,rdjohnson@cps.edu,(773) 615-9699,Excelling,Network 3
Leif Ericson Scholastic Academy,Elementary School,"3600 W 5th Ave, Chicago, IL, 60624",Monique Ferguson,mkferguson@cps.edu,(773) 534-6660,Developing,Network 5
Esmond Elementary School,Elementary School,"1865 W Montvale Ave, Chicago, IL, 60643",Bernika Green,brgreen@cps.edu,(773) 535-2650,Developing,Network 10
Edward Everett Elementary School,Elementary School,"3419 S Bell Ave, Chicago, IL, 60608",Winnie Ho,who2@cps.edu,"",Strong,ISP
Laughlin Falconer Elementary School,Elementary School,"3020 N Lamon Ave, Chicago, IL, 60641",John Kuszynski,jjkuszynski@cps.edu,"",Strong,Network 3
James B Farnsworth Elementary School,Elementary School,"5414 N Linder Ave, Chicago, IL, 60630",Aldo Mazzotti,Aemazzotti@cps.edu,(312) 841-4879,Strong,Network 1
Fernwood Elementary School,Elementary School,"10041 S Union Ave, Chicago, IL, 60628","",,"",Incomplete Data,Network 13
Eugene Field Elementary School,Elementary School,"7019 N Ashland Ave, Chicago, IL, 60626",Isaac Williams,ihwilliams@cps.edu,"",Excelling,Network 2
John Fiske Elementary School,Elementary School,"6020 S Langley Ave, Chicago, IL, 60637",Miles Vance,mvance@cps.edu,(773) 556-9873,Incomplete Data,Network 9
Gerald Delgado Kanoon Elementary Magnet School,Elementary School,"2233 S Kedzie Ave, Chicago, IL, 60623",Michael Erickson,mserickson@cps.edu,(773) 534-1736,Strong,Network 7
Telpochcalli Elementary School,Elementary School,"2832 W 24th Blvd, Chicago, IL, 60623",William Estrada,westrada1@cps.edu,(773) 534-1402,Excelling,Network 7
Belmont-Cragin Elementary School,Elementary School,"5252 W Palmer St, Chicago, IL, 60639",Albert Cordero,acordero6@cps.edu,(773) 307-9091,Excelling,Network 3
Fort Dearborn Elementary School,Elementary School,"9025 S Throop St, Chicago, IL, 60620",Kimberly Porter,kporter1@cps.edu,(773) 535-2680,Strong,Network 11
Joseph Kellman Corporate Community ES,Elementary School,"3030 W Arthington St, Chicago, IL, 60612",Robert Reinhard,BAReinard@cps.edu,(773) 534-6602,Incomplete Data,Network 5
Franklin Elementary Fine Arts Center,Elementary School,"225 W Evergreen Ave, Chicago, IL, 60610",Elizabeth Williams,edwilliams15@cps.edu,(773) 534-8510,Excelling,Network 4
Foster Park Elementary School,Elementary School,"8530 S Wood St, Chicago, IL, 60620",Lachelle Washington,lrwashington2@cps.edu,(773) 535-2725,Excelling,Network 11
James Farmer Jr Elementary School (formerly Fuller Elementary),Elementary School,"4214 S St Lawrence Ave, Chicago, IL, 60653","",,"",Strong,Network 9
Robert Fulton Elementary School,Elementary School,"5300 S Hermitage Ave, Chicago, IL, 60609",Romel Coleman,rbcoleman@cps.edu,(773) 535-9000,Strong,Network 8
Frederick Funston Elementary School,Elementary School,"2010 N Central Park Ave, Chicago, IL, 60647",Evelyn Sanchez,esanchez222@cps.edu,(773) 534-4125,Excelling,Network 4
Stephen F Gale Elementary Community Academy,Elementary School,"1631 W Jonquil Ter, Chicago, IL, 60626",Catherine Houston,cmhouston1@cps.edu,(773) 943-2908,Strong,Network 2
Matthew Gallistel Elementary Language Academy,Elementary School,"10347 S Ewing Ave, Chicago, IL, 60617",Lorie Soso,lmkasdan-soso@cps.edu,(773) 263-5822,Strong,Network 13
John W Garvy Elementary School,Elementary School,"5225 N Oak Park Ave, Chicago, IL, 60656",Christine Gray-Rodriguez,cmgray-rodriguez@cps.edu,"",Strong,Network 1
Joseph E Gary Elementary School,Elementary School,"3740 W 31st St, Chicago, IL, 60623",Nestor Dominguez,ndominguez21@cps.edu,(773) 534-1455,Strong,Network 7
Frank L Gillespie Elementary School,Elementary School,"9301 S State St, Chicago, IL, 60619",Amy DelGatto,ADelGatto@cps.edu,(773) 535-5065,Strong,Network 12
Asa Philip Randolph Elementary School,Elementary School,"7316 S Hoyne Ave, Chicago, IL, 60636",Joanne Brown Hicks,jrhicks@cps.edu,(773) 535-9015,Strong,Network 11
Johann W von Goethe Elementary School,Elementary School,"2236 N Rockwell St, Chicago, IL, 60647",Andrew Distel,awdistel@cps.edu,(773) 534-4135,Strong,Network 4
Virgil Grissom Elementary School,Elementary School,"12810 S Escanaba Ave, Chicago, IL, 60633",Deborah Johnson-Sharp,dajohnson1@cps.edu,"",Excelling,Network 13
William C Goudy Elementary School,Elementary School,"5120 N Winthrop Ave, Chicago, IL, 60640",Michael Sviokla,mgsviokla@cps.edu,(617) 448-4614,Strong,Network 2
Alexander Graham Elementary School,Elementary School,"4436 S Union Ave, Chicago, IL, 60609",Tina Parker,tparker1@cps.edu,(773) 535-1308,Developing,Network 6
William P Gray Elementary School,Elementary School,"3730 N Laramie Ave, Chicago, IL, 60641",Sandra Kane,skane5@cps.edu,(773) 534-3520,Developing,Network 1
Josefa Ortiz de Dominguez Elementary School,Elementary School,"3000 S Lawndale Ave, Chicago, IL, 60623",Amy Castaneda,amcastaneda@cps.edu,(773) 927-0603,Excelling,Network 7
Ariel Elementary Community Academy,Elementary School,"1119 E 46th St, Chicago, IL, 60653","",,"",Incomplete Data,Network 9
Nathanael Greene Elementary School,Elementary School,"3525 S Honore St, Chicago, IL, 60609",Marcos Barrera,mbarrera62@cps.edu,(773) 535-4560,Strong,Network 8
John Milton Gregory Elementary School,Elementary School,"3715 W Polk St, Chicago, IL, 60624",Hannah Harper Smith,hcharpersmith@cps.edu,(773) 534-6820,Emerging,Network 5
Walter Q Gresham Elementary School,Elementary School,"8524 S Green St, Chicago, IL, 60620",Timothy King,tmking7@cps.edu,(708) 822-8570,Excelling,Network 11
Robert L Grimes Elementary School,Elementary School,"5450 W 64th Pl, Chicago, IL, 60638","",,"",Developing,Network 10
Frank W Gunsaulus Elementary Scholastic Academy,Elementary School,"4420 S Sacramento Ave, Chicago, IL, 60632",Dana Holgerson,dholgerson@cps.edu,(414) 897-2421,Excelling,Network 8
John Charles Haines Elementary School,Elementary School,"247 W 23rd Pl, Chicago, IL, 60616",Carl Raezer,craezer@cps.edu,"",Excelling,Network 6
Nathan Hale Elementary School,Elementary School,"6140 S Melvina Ave, Chicago, IL, 60638",Cathy Schwerha,clroach@cps.edu,(708) 307-5676,Excelling,Network 10
Ninos Heroes Elementary Academic Center,Elementary School,"8344 S Commercial Ave, Chicago, IL, 60617",David Smith,dasmith3@cps.edu,(773) 535-6694,Strong,Network 12
Alexander Hamilton Elementary School,Elementary School,"1650 W Cornelia Ave, Chicago, IL, 60657",Adria Beasley,aabeasley1@cps.edu,(773) 534-5484,Excelling,Network 4
John H Hamline Elementary School,Elementary School,"4747 S Bishop St, Chicago, IL, 60609",Paula Sontag,prburnett@cps.edu,(773) 535-4565,Strong,Network 8
Charles G Hammond Elementary School,Elementary School,"2819 W 21st Pl, Chicago, IL, 60623",Gabriela Ibanez,gibanez1@cps.edu,(708) 475-1548,Developing,Network 7
William F Finkl Elementary School,Elementary School,"2332 S Western Ave, Chicago, IL, 60608",Chad Van Puymbroek,cevanpuymbro@cps.edu,(773) 824-6479,Excelling,Network 7
Sharon Christa McAuliffe Elementary School,Elementary School,"1841 N Springfield Ave, Chicago, IL, 60647",Maria Campbell,mlcampbell10@cps.edu,(773) 534-4400,Excelling,Network 4
Bret Harte Elementary School,Elementary School,"1556 E 56th St, Chicago, IL, 60637",Kenyetta Floyd,kfloyd10@cps.edu,(708) 510-4210,Strong,Network 9
John Harvard Elementary School of Excellence,Elementary School,"7525 S Harvard, Chicago, IL, 60620",Latrice Madkins,lmcfarland@cps.edu,(773) 535-3045,Emerging,Network 11
Helge A Haugan Elementary School,Elementary School,"4540 N Hamlin Ave, Chicago, IL, 60625",Heather Yutzy,hsyutzy@cps.edu,"",Excelling,ISP
Emiliano Zapata Elementary Academy,Elementary School,"2728 S Kostner Ave, Chicago, IL, 60623",Leticia Delgado,ldelgado57@cps.edu,(312) 746-4835,Developing,Network 7
Hawthorne Elementary Scholastic Academy,Elementary School,"3319 N Clifton Ave, Chicago, IL, 60657",Stacey Lemp,salemp@cps.edu,(773) 991-6029,Excelling,Network 4
John Hay Elementary Community Academy,Elementary School,"1018 N Laramie Ave, Chicago, IL, 60651",Amanda Zangrilli,azangrilli@cps.edu,(773) 534-6000,Strong,Network 3
Stephen K Hayt Elementary School,Elementary School,"1518 W Granville Ave., Chicago, IL, 60660",Elizabeth Decker,eadecker@cps.edu,(773) 534-2040,Developing,Network 2
Woodlawn Community Elementary School,Elementary School,"6657 S Kimbark Ave, Chicago, IL, 60637",Clemeekia Grier,cgrier1@cps.edu,(773) 535-0745,Emerging,Network 9
Wendell Smith Elementary School,Elementary School,"744 E 103rd St, Chicago, IL, 60628",Zulekha Robinson,zpendleton@cps.edu,"",Emerging,Network 13
Robert Healy Elementary School,Elementary School,"3010 S Parnell Ave, Chicago, IL, 60616",Gerald Gomez,grgomez@cps.edu,(773) 633-3726,Developing,Network 6
Phoebe A Hearst Elementary School,Elementary School,"4640 S Lamon Ave, Chicago, IL, 60638",Alicia Jade,ajjade@cps.edu,(773) 535-2376,Emerging,Network 10
James Hedges Elementary School,Elementary School,"4747 S Winchester Ave, Chicago, IL, 60609",Jequeline Salinas,jsalinas@cps.edu,(773) 535-7360,Strong,Network 8
Helen M Hefferan Elementary School,Elementary School,"4409 W Wilcox St, Chicago, IL, 60624",Katesa Neal,kjhunter1@cps.edu,(773) 534-6192,Emerging,Network 5
Charles R Henderson Elementary School,Elementary School,"5650 S Wolcott Ave, Chicago, IL, 60636",Candace Reeder,CCReeder@cps.edu,(773) 535-9080,Strong,Network 8
Thomas A Hendricks Elementary Community Academy,Elementary School,"4316 S Princeton Ave, Chicago, IL, 60609",Katrina West,kwest15@cps.edu,(773) 535-1696,Developing,Network 9
Patrick Henry Elementary School,Elementary School,"4250 N Saint Louis Ave, Chicago, IL, 60618",Rebecca Leslie,rleslie@cps.edu,(847) 687-3184,Strong,Network 1
South Loop Elementary School,Elementary School,"1601 S Dearborn St, Chicago, IL, 60616",Rachel Jaffe,rjaffe@cps.edu,"",Excelling,ISP
Theodore Herzl Elementary School,Elementary School,"3711 W Douglas Blvd, Chicago, IL, 60623",Michele Douglas,mdouglas4@cps.edu,(773) 534-1480,Excelling,Network 7
Agustin Lara Elementary Academy,Elementary School,"4619 S Wolcott Ave, Chicago, IL, 60609",Ricardo Cervantes,rcervantes@cps.edu,(773) 535-4389,Excelling,ISP
William G Hibbard Elementary School,Elementary School,"3244 W Ainslie St, Chicago, IL, 60625","",,"",Emerging,Network 1
Rufus M Hitch Elementary School,Elementary School,"5625 N Mcvicker Ave, Chicago, IL, 60646",Amy Cholod,amcholod@cps.edu,(773) 534-1189,Excelling,Network 1
Charles N Holden Elementary School,Elementary School,"1104 W 31st St, Chicago, IL, 60608",Anna Renken,alrenken@cps.edu,(773) 535-7200,Excelling,ISP
Oliver Wendell Holmes Elementary School,Elementary School,"955 W Garfield Blvd, Chicago, IL, 60621",Tiffany Crawl,tlcrawl@cps.edu,(708) 378-2784,Excelling,Network 8
